Date,Open,High,Low,Close,Volume,Market Cap
3-Apr-17,0.060291,0.061594,0.027447,0.033023,"155,550,000","1,238,821,670"
2-Apr-17,0.021938,0.071441,0.021696,0.061159,"230,622,000","2,294,347,627"
1-Apr-17,0.021743,0.022798,0.019664,0.021892,"30,657,700","818,500,435"
31-Mar-17,0.013049,0.021776,0.013049,0.020889,"72,699,400","781,029,219"
30-Mar-17,0.010125,0.014126,0.010125,0.013276,"19,821,800","496,357,149"
29-Mar-17,0.009526,0.010101,0.00952,0.010101,"3,344,230","377,677,110"
28-Mar-17,0.009568,0.009644,0.00928,0.009514,"3,111,280","355,714,086"
27-Mar-17,0.009482,0.010053,0.009155,0.009597,"6,336,150","358,830,082"
26-Mar-17,0.009159,0.00984,0.009079,0.009545,"5,475,230","356,889,221"
25-Mar-17,0.010502,0.010711,0.00904,0.009116,"11,334,900","340,825,428"
24-Mar-17,0.010528,0.010825,0.009135,0.010518,"24,493,700","393,260,829"
23-Mar-17,0.007284,0.010582,0.007258,0.010582,"12,315,100","395,649,983"
22-Mar-17,0.006908,0.00746,0.006882,0.007301,"4,652,530","272,603,337"
21-Mar-17,0.006996,0.007075,0.006792,0.006909,"3,021,440","257,975,383"
20-Mar-17,0.006915,0.007112,0.006761,0.006975,"3,423,710","260,445,300"
19-Mar-17,0.006736,0.007198,0.006556,0.006912,"4,241,970","258,098,226"
18-Mar-17,0.006137,0.007396,0.006118,0.00671,"7,223,300","250,547,339"
17-Mar-17,0.006406,0.006406,0.00597,0.006116,"3,442,010","228,362,151"
16-Mar-17,0.006319,0.006409,0.006213,0.006394,"3,860,210","238,733,559"
15-Mar-17,0.00637,0.0065,0.006301,0.006314,"1,376,090","235,454,225"
14-Mar-17,0.006346,0.006406,0.006277,0.006381,"1,358,830","237,960,156"
13-Mar-17,0.006271,0.006429,0.006156,0.006385,"2,561,890","238,098,132"
12-Mar-17,0.006214,0.006313,0.006086,0.006255,"1,531,030","233,249,975"
11-Mar-17,0.006229,0.006383,0.00613,0.006238,"1,818,590","232,626,476"
10-Mar-17,0.006503,0.006546,0.00605,0.006227,"3,144,440","232,222,991"
9-Mar-17,0.006485,0.006606,0.006423,0.006498,"2,064,660","242,319,059"
8-Mar-17,0.006551,0.006776,0.006363,0.006509,"3,432,500","243,479,929"
7-Mar-17,0.006057,0.006577,0.005974,0.006534,"2,901,920","244,428,566"
6-Mar-17,0.006129,0.006221,0.006047,0.006057,"1,023,500","226,571,294"
5-Mar-17,0.00629,0.006389,0.006129,0.006129,"1,044,760","229,273,937"
4-Mar-17,0.006354,0.006497,0.006278,0.006299,"1,372,440","235,639,831"
3-Mar-17,0.005988,0.006346,0.005968,0.006339,"2,703,850","237,138,723"
2-Mar-17,0.005419,0.006217,0.005408,0.005991,"3,811,500","224,099,076"
1-Mar-17,0.005525,0.005547,0.005372,0.005408,"1,630,460","200,868,980"
28-Feb-17,0.005608,0.005631,0.005438,0.005536,"1,693,350","205,616,367"
27-Feb-17,0.005665,0.005696,0.005608,0.005609,"641,126","208,327,144"
26-Feb-17,0.005664,0.005733,0.005651,0.005671,"258,373","210,650,136"
25-Feb-17,0.0057,0.005743,0.005628,0.005665,"684,577","210,432,471"
24-Feb-17,0.005883,0.005919,0.005644,0.005701,"1,343,690","211,743,658"
23-Feb-17,0.005856,0.005943,0.005798,0.005895,"750,533","218,956,299"
22-Feb-17,0.005849,0.005887,0.005817,0.00586,"500,712","217,065,184"
21-Feb-17,0.005871,0.005909,0.005735,0.005832,"653,081","216,037,936"
20-Feb-17,0.005879,0.005949,0.00574,0.005873,"880,117","217,573,065"
19-Feb-17,0.005589,0.005892,0.00557,0.005878,"896,856","217,744,953"
18-Feb-17,0.005949,0.006014,0.005427,0.005569,"1,866,850","206,294,830"
17-Feb-17,0.005939,0.006095,0.005872,0.005935,"1,160,600","219,877,982"
16-Feb-17,0.006138,0.006244,0.005988,0.006027,"1,355,840","223,279,049"
15-Feb-17,0.006279,0.006302,0.006095,0.006147,"813,299","227,727,196"
14-Feb-17,0.00624,0.006352,0.00624,0.006278,"671,150","232,582,623"
13-Feb-17,0.006267,0.006338,0.006228,0.006251,"462,843","231,580,939"
12-Feb-17,0.006328,0.006364,0.006269,0.006269,"230,479","232,223,661"
11-Feb-17,0.00629,0.006395,0.006273,0.006333,"334,607","234,593,030"
10-Feb-17,0.006367,0.0067,0.006192,0.006289,"808,768","232,977,147"
9-Feb-17,0.006433,0.006484,0.006193,0.006374,"1,700,680","236,118,153"
8-Feb-17,0.006407,0.007833,0.006402,0.006438,"860,217","237,281,127"
7-Feb-17,0.006437,0.006509,0.006378,0.006407,"945,440","236,127,887"
6-Feb-17,0.006439,0.006494,0.006397,0.00645,"386,766","237,707,557"
5-Feb-17,0.006494,0.006563,0.006403,0.006442,"367,001","237,439,242"
4-Feb-17,0.006487,0.006528,0.006429,0.006492,"314,187","239,277,644"
3-Feb-17,0.006466,0.00651,0.006401,0.006474,"548,263","238,606,119"
2-Feb-17,0.00654,0.00663,0.006381,0.006469,"670,888","238,429,576"
1-Feb-17,0.006311,0.006642,0.006249,0.00654,"1,836,820","241,024,345"
31-Jan-17,0.00639,0.006411,0.006297,0.006314,"661,444","232,723,519"
30-Jan-17,0.006402,0.006468,0.006353,0.006381,"391,822","235,163,421"
29-Jan-17,0.006356,0.006493,0.006287,0.006402,"325,176","235,949,571"
28-Jan-17,0.006409,0.006419,0.006323,0.006342,"241,491","233,731,913"
27-Jan-17,0.006686,0.006815,0.006331,0.006415,"924,745","236,445,291"
26-Jan-17,0.006511,0.007073,0.006425,0.00669,"1,446,950","246,557,247"
25-Jan-17,0.006527,0.006594,0.00649,0.006513,"522,497","240,038,824"
24-Jan-17,0.006708,0.006718,0.006534,0.00654,"509,262","241,037,252"
23-Jan-17,0.006718,0.006735,0.006662,0.006697,"309,838","246,835,064"
22-Jan-17,0.006706,0.006759,0.006653,0.006713,"362,422","247,414,439"
21-Jan-17,0.006694,0.006824,0.006678,0.006706,"553,724","247,138,388"
20-Jan-17,0.007032,0.00716,0.00661,0.006675,"620,052","246,023,864"
19-Jan-17,0.006713,0.00704,0.006671,0.007034,"760,684","259,231,566"
18-Jan-17,0.00679,0.007125,0.006659,0.006709,"1,342,730","246,714,248"
17-Jan-17,0.006772,0.006848,0.006612,0.0068,"1,842,150","250,063,012"
16-Jan-17,0.006747,0.006836,0.006717,0.006788,"699,284","249,604,106"
15-Jan-17,0.006867,0.006925,0.006726,0.006726,"780,822","247,328,329"
14-Jan-17,0.00661,0.006872,0.006585,0.006863,"1,307,810","252,379,605"
13-Jan-17,0.006434,0.006664,0.006396,0.006596,"2,059,340","242,560,559"
12-Jan-17,0.006417,0.006851,0.006351,0.006423,"5,013,190","236,179,631"
11-Jan-17,0.006708,0.006721,0.006312,0.006411,"3,436,270","232,965,876"
10-Jan-17,0.006157,0.006815,0.006148,0.006698,"2,510,530","243,404,745"
9-Jan-17,0.006239,0.006294,0.006127,0.006167,"702,255","224,080,102"
8-Jan-17,0.006383,0.006383,0.006232,0.006233,"554,133","226,499,134"
7-Jan-17,0.006351,0.006404,0.006133,0.006366,"1,351,030","231,335,019"
6-Jan-17,0.006197,0.006394,0.006109,0.006315,"1,746,150","229,462,513"
5-Jan-17,0.006572,0.00658,0.006031,0.006201,"4,058,170","225,333,042"
4-Jan-17,0.006385,0.006656,0.006385,0.00657,"1,642,730","238,734,599"
3-Jan-17,0.00629,0.006392,0.006278,0.006386,"1,014,830","232,046,355"
2-Jan-17,0.006386,0.006437,0.006281,0.006311,"1,046,250","229,312,700"
1-Jan-17,0.006523,0.006702,0.006334,0.006368,"418,978","231,408,636"
31-Dec-16,0.006417,0.006538,0.006387,0.006449,"272,884","234,334,879"
30-Dec-16,0.006352,0.006455,0.006338,0.006426,"1,379,470","233,518,379"
29-Dec-16,0.00618,0.006354,0.006167,0.006341,"1,345,050","230,400,639"
